ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
000534.SZ,20111230,4.06,2.767,2.7703,,82.5689,145.1304,1.9431,3.331,3.5322,25511.1096,20745.9814,20721.2914,103575.105,84228.6845
000536.SZ,20111230,13.4,0.8593,0.9006,,26.8663,29.4418,3.7398,3.1039,3.5955,70049.3506,10975.4572,10472.2133,938661.298,147071.1265
000537.SZ,20111230,5.35,3.1402,3.9261,,25.7121,21.5818,3.7213,1.7928,3.5476,51271.7581,51271.2031,41007.9101,274303.9058,274300.9366
000538.SZ,20111230,53.0,0.463,1.1408,,39.7294,32.5406,7.0707,3.6521,3.2982,69426.6479,62924.5398,25540.2914,3679612.3387,3335000.6094
000539.SZ,20111230,5.28,0.1734,0.5089,,19.2876,29.1213,1.4409,1.1684,1.0959,279745.1138,198864.6923,67775.1314,1477054.2009,1050005.5753
000540.SZ,20111230,6.37,0.6274,1.2026,,14.6838,12.5808,4.1686,2.4478,2.0738,127881.2292,127818.2662,66684.8219,814603.43,814202.3557
000541.SZ,20111230,9.75,0.9973,1.1969,,36.1708,29.8662,3.5087,4.8776,4.0472,97856.3745,61605.6423,51330.4775,954099.6514,600655.0124
000543.SZ,20111230,5.05,0.3233,0.867,,17.8443,35.1693,1.0479,1.0316,0.8398,77300.8816,77300.2646,28823.5105,390369.4521,390366.3362
000544.SZ,20111230,10.85,7.853,18.5329,,39.6487,41.1809,4.5443,9.1254,8.4582,26945.9799,26945.9799,11417.8626,292363.8819,292363.8819
000546.SZ,20111230,6.93,2.0094,2.3292,,524.9245,83.8654,8.8216,14.7828,6.1338,16950.6479,14623.8131,12615.7168,117467.9899,101343.0248
000547.SZ,20111230,4.2,0.5782,0.6941,,105.7272,36.0449,1.6404,5.8101,5.7918,61842.8326,48966.8694,40792.4294,259739.8969,205660.8515
000758.SZ,20111230,17.23,2.003,2.1886,,268.3157,64.5635,6.131,2.2185,1.5681,76665.6,70271.1669,64311.6145,1320948.288,1210772.2057
000759.SZ,20111230,8.45,0.8181,0.9653,,22.9333,22.0857,2.2107,0.4847,0.431,68102.15,68055.8041,57675.3954,575463.1675,575071.5446
000760.SZ,20111230,4.19,0.4503,0.5152,,233.6648,569.3425,5.41,1.8023,2.1127,23685.2292,23684.1189,20699.1126,99241.1103,99236.4582
000761.SZ,20111230,4.66,0.0183,0.3088,,15.7924,17.2949,0.9443,0.3199,0.2954,313600.0,273598.66,16235.418,1461376.0,1274969.7556
000762.SZ,20111230,19.98,1.095,1.3897,,194.466,133.5814,3.3144,13.5226,11.1386,31731.6585,27563.9949,21719.4971,633998.5368,550728.6181
000788.SZ,20111230,6.99,0.194,0.3297,,15.4271,13.346,4.2501,3.2068,2.2244,59598.7425,48674.8892,28639.2632,416595.2101,340237.4755
